Age,Gender,Quit,YearsOverall,BasicSalary,Contract,CusSize,TechRole,ThisYearBonus,LastYearBonus,Level
27,1,0,5.0,35000.0,Temporary contract,101 to 1000,1,0,0,Management
26,1,0,5.0,80000.0,Unlimited contract,51 to 100,1,1,1,Management
26,1,0,7.0,80000.0,Unlimited contract,101 to 1000,1,0,1,Management
37,1,0,17.0,62000.0,Unlimited contract,101 to 1000,1,0,0,Management
37,1,0,6.0,57000.0,Unlimited contract,11 to 50,1,0,0,Employee
24,1,0,5.0,65000.0,Unlimited contract,1000+,1,0,0,Management
29,1,0,8.0,56000.0,Unlimited contract,101 to 1000,1,0,0,Management
35,1,0,15.0,95000.0,Unlimited contract,101 to 1000,1,0,0,Management
28,1,1,11.0,75000.0,Unlimited contract,1000+,0,1,0,Management
29,1,1,7.0,60350.0,Unlimited contract,1000+,1,0,1,Employee
27,1,0,8.0,60000.0,Unlimited contract,1000+,1,0,0,Management
34,1,0,11.0,80000.0,Unlimited contract,101 to 1000,1,1,1,Management
34,1,0,15.0,100000.0,Unlimited contract,1000+,1,0,1,Management
36,1,0,17.0,70000.0,Unlimited contract,101 to 1000,1,0,0,Management
38,1,1,18.0,80000.0,Unlimited contract,101 to 1000,1,1,1,Management
24,1,0,6.0,75000.0,Unlimited contract,101 to 1000,1,1,0,Management
32,1,0,14.0,67000.0,Unlimited contract,101 to 1000,0,1,0,Management
40,1,0,13.0,70000.0,Unlimited contract,101 to 1000,1,0,0,Management
29,1,0,6.0,85000.0,Unlimited contract,101 to 1000,1,1,0,Management
27,1,0,8.0,63000.0,Unlimited contract,101 to 1000,1,1,0,Employee
33,1,0,5.0,150000.0,Unlimited contract,1000+,1,1,1,Management
30,1,0,8.0,80000.0,Unlimited contract,101 to 1000,1,0,1,Management
29,1,0,7.0,72000.0,Unlimited contract,1000+,1,1,0,Management
30,1,0,6.0,74000.0,Unlimited contract,1000+,1,1,1,Management
48,1,0,25.0,75000.0,Unlimited contract,101 to 1000,1,0,0,Management
28,0,0,5.0,60000.0,Unlimited contract,1000+,0,0,0,Management
32,1,0,3.0,77000.0,Unlimited contract,101 to 1000,1,0,0,Employee
38,0,0,12.0,70000.0,Unlimited contract,1000+,0,1,0,Management
35,1,0,10.0,75000.0,Unlimited contract,101 to 1000,1,0,1,Management
32,1,0,8.0,65000.0,Unlimited contract,11 to 50,1,0,0,Management
44,1,0,12.0,68000.0,Unlimited contract,11 to 50,1,0,0,Management
29,1,0,5.0,75000.0,Unlimited contract,101 to 1000,1,0,0,Management
28,1,0,5.0,72000.0,Unlimited contract,101 to 1000,1,0,0,Management
34,1,0,5.0,73500.0,Unlimited contract,11 to 50,1,0,0,Management
34,1,0,13.0,72000.0,Unlimited contract,51 to 100,1,1,1,Management
36,1,0,15.0,55000.0,Unlimited contract,1000+,1,0,0,Management
29,1,0,7.0,80000.0,Unlimited contract,1000+,1,1,1,Management
30,1,0,5.0,55000.0,Unlimited contract,1000+,1,0,0,Employee
30,1,0,8.0,70200.0,Unlimited contract,1000+,0,1,1,Employee
26,0,1,6.0,60000.0,Unlimited contract,1000+,1,1,1,Employee
26,1,0,8.0,85000.0,Unlimited contract,1000+,1,0,0,Management
30,1,0,10.0,72000.0,Unlimited contract,101 to 1000,1,0,0,Management
38,1,0,17.0,68500.0,Unlimited contract,1000+,0,1,1,Employee
43,1,0,5.0,72000.0,Unlimited contract,1000+,1,0,0,Management
33,1,1,5.0,65000.0,Unlimited contract,101 to 1000,1,0,0,Employee
32,0,0,10.0,61000.0,Unlimited contract,101 to 1000,1,0,0,Management
29,1,0,7.0,78000.0,Unlimited contract,101 to 1000,1,1,0,Management
29,1,1,4.0,81000.0,Unlimited contract,101 to 1000,1,0,0,Management
30,1,0,5.0,75000.0,Unlimited contract,101 to 1000,1,1,1,Management
33,1,0,5.0,60000.0,Unlimited contract,1000+,1,0,0,Management
28,1,0,8.0,80000.0,Unlimited contract,101 to 1000,1,0,0,Management
32,1,0,7.0,60000.0,Unlimited contract,51 to 100,1,0,0,Management
30,1,0,8.0,80000.0,Unlimited contract,1000+,1,0,0,Management
26,1,0,7.0,78000.0,Unlimited contract,101 to 1000,1,1,0,Management
31,1,0,10.0,68000.0,Unlimited contract,1000+,1,0,0,Management
38,0,0,6.0,62000.0,Unlimited contract,1000+,1,0,0,Employee
25,1,0,3.0,62000.0,Unlimited contract,101 to 1000,1,0,0,Employee
27,1,0,5.0,58000.0,Unlimited contract,1000+,1,1,1,Management
35,1,0,12.0,120000.0,Unlimited contract,1000+,1,1,1,Management
26,1,1,3.0,65000.0,Unlimited contract,101 to 1000,1,1,1,Employee
33,1,0,6.0,85000.0,Unlimited contract,1000+,1,1,1,Employee
33,1,0,12.0,65000.0,Unlimited contract,101 to 1000,1,0,0,Management
32,1,0,6.0,50000.0,Unlimited contract,101 to 1000,1,0,0,Employee
24,1,0,5.0,79000.0,Unlimited contract,1000+,1,1,1,Employee
28,0,0,6.0,65000.0,Unlimited contract,1000+,0,1,0,Employee
30,0,0,8.0,75000.0,Unlimited contract,101 to 1000,1,0,0,Management
31,1,0,11.0,80000.0,Unlimited contract,1000+,1,1,0,Management
28,1,0,5.0,57000.0,Unlimited contract,1000+,1,1,0,Management
26,0,0,3.0,70000.0,Unlimited contract,1000+,1,1,0,Employee
33,1,0,6.0,63000.0,Unlimited contract,101 to 1000,1,1,1,Employee
41,1,0,18.0,72000.0,Unlimited contract,1000+,0,0,0,Employee
30,1,0,6.0,75000.0,Unlimited contract,51 to 100,1,1,0,Management
37,1,0,12.0,62000.0,Unlimited contract,101 to 1000,1,1,1,Management
25,1,0,5.0,75000.0,Unlimited contract,101 to 1000,1,1,0,Management
36,1,0,19.0,69000.0,Unlimited contract,101 to 1000,1,0,0,Management
40,1,0,7.0,54000.0,Unlimited contract,11 to 50,1,0,0,Employee
35,1,0,13.0,80000.0,Unlimited contract,101 to 1000,1,1,1,Management
30,1,0,6.0,75000.0,Unlimited contract,101 to 1000,1,1,1,Management
35,1,0,12.0,70000.0,Unlimited contract,1000+,1,1,0,Management
35,1,0,10.0,70000.0,Unlimited contract,51 to 100,0,0,0,Management
28,1,0,7.0,80000.0,Unlimited contract,101 to 1000,1,1,0,Management
35,1,0,4.0,50000.0,Unlimited contract,101 to 1000,1,1,0,Employee
31,0,0,7.0,68000.0,Unlimited contract,1000+,1,0,0,Management
28,1,0,3.0,51000.0,Unlimited contract,51 to 100,0,1,0,Employee
42,0,1,20.0,55000.0,Unlimited contract,1000+,1,0,0,Employee
36,0,0,14.0,62000.0,Unlimited contract,1000+,0,0,0,Employee
37,1,0,8.0,60000.0,Unlimited contract,51 to 100,1,0,0,Employee
33,1,0,10.0,75000.0,Unlimited contract,101 to 1000,1,1,1,Management
38,1,0,11.0,55000.0,Unlimited contract,101 to 1000,1,0,0,Management
27,1,0,4.0,60000.0,Unlimited contract,51 to 100,1,0,0,Management
36,0,0,5.0,60000.0,Unlimited contract,101 to 1000,1,1,0,Employee
32,1,0,10.0,68500.0,Unlimited contract,101 to 1000,1,1,1,Management
40,1,0,10.0,100000.0,Unlimited contract,51 to 100,1,0,0,Top Management
46,1,1,4.0,82000.0,Unlimited contract,101 to 1000,0,0,1,Management
31,1,1,9.0,90000.0,Unlimited contract,1000+,1,0,0,Management
40,1,0,25.0,85000.0,Unlimited contract,11 to 50,1,1,1,Management
33,1,0,5.0,66000.0,Unlimited contract,101 to 1000,1,1,1,Employee
34,1,0,14.0,95000.0,Unlimited contract,1000+,1,1,0,Management
36,1,0,18.0,65000.0,Unlimited contract,101 to 1000,1,1,1,Management
32,1,0,11.0,80000.0,Unlimited contract,101 to 1000,1,0,0,Management
46,1,1,14.0,80000.0,Unlimited contract,51 to 100,1,0,0,Management
30,1,0,8.0,66000.0,Unlimited contract,1000+,1,0,0,Management
31,1,0,10.0,115000.0,Unlimited contract,1000+,1,1,1,Management
26,1,0,6.0,70000.0,Unlimited contract,101 to 1000,1,0,0,Management
36,1,0,12.0,105000.0,Unlimited contract,1000+,1,1,1,Management
40,1,0,13.0,77000.0,Unlimited contract,1000+,0,1,0,Management
38,1,0,6.0,68000.0,Unlimited contract,1000+,1,1,1,Management
32,1,0,9.0,70000.0,Unlimited contract,11 to 50,1,1,1,Management
29,1,0,8.0,70000.0,Unlimited contract,1000+,1,1,1,Management
35,1,0,10.0,96000.0,Unlimited contract,11 to 50,1,1,0,Management
30,0,0,10.0,65000.0,Unlimited contract,1000+,1,1,1,Management
43,1,1,20.0,79000.0,Unlimited contract,1000+,1,0,0,Management
38,1,0,16.0,65000.0,Unlimited contract,1000+,1,0,0,Management
26,1,0,5.0,63000.0,Unlimited contract,101 to 1000,1,1,0,Employee
25,0,0,3.0,62000.0,Unlimited contract,1000+,1,0,0,Employee
34,1,1,12.0,95000.0,Unlimited contract,11 to 50,1,0,1,Management
27,1,0,5.0,65000.0,Unlimited contract,1000+,1,0,0,Employee
34,1,0,5.0,65000.0,Unlimited contract,101 to 1000,1,1,1,Employee
36,0,0,14.0,69000.0,Unlimited contract,11 to 50,1,1,1,Management
27,1,0,5.0,65000.0,Unlimited contract,1000+,1,0,0,Employee
45,1,0,10.0,77000.0,Unlimited contract,101 to 1000,1,1,1,Management
35,1,0,6.0,74000.0,Unlimited contract,51 to 100,1,1,0,Management
36,1,0,7.0,80000.0,Unlimited contract,1000+,1,1,0,Management
33,1,0,14.0,70000.0,Unlimited contract,101 to 1000,1,0,0,Management
30,1,0,10.0,56000.0,Unlimited contract,1000+,1,0,0,Employee
24,1,0,0.8,48000.0,Unlimited contract,11 to 50,1,1,1,Employee
29,1,0,8.0,65000.0,Unlimited contract,101 to 1000,1,0,0,Management
32,1,0,10.0,100000.0,Unlimited contract,1000+,1,0,0,Management
25,1,1,1.0,65000.0,Unlimited contract,1000+,1,1,0,Employee
32,1,0,9.0,95000.0,Unlimited contract,1000+,0,1,0,Management
30,1,0,7.0,100000.0,Unlimited contract,1000+,1,1,1,Management
26,0,0,6.0,65000.0,Unlimited contract,101 to 1000,1,1,1,Management
31,1,0,9.0,92500.0,Unlimited contract,1000+,1,1,0,Employee
29,0,0,6.0,54000.0,Unlimited contract,101 to 1000,1,0,0,Employee
34,1,0,14.0,72000.0,Unlimited contract,101 to 1000,1,0,0,Management
31,1,0,10.0,60000.0,Unlimited contract,1000+,1,1,0,Management
29,1,0,8.0,95000.0,Unlimited contract,1000+,1,1,1,Management
33,1,0,10.0,67000.0,Unlimited contract,1000+,1,0,0,Employee
37,1,1,15.0,72000.0,Unlimited contract,1000+,1,1,1,Management
30,1,0,4.0,42000.0,Unlimited contract,101 to 1000,1,0,0,Employee
43,1,0,5.0,64000.0,Unlimited contract,101 to 1000,1,1,1,Employee
32,0,0,2.0,52000.0,Unlimited contract,1000+,1,1,0,Employee
29,1,0,9.0,85000.0,Unlimited contract,1000+,1,0,0,Management
41,1,0,19.0,123600.0,Unlimited contract,101 to 1000,1,0,0,Management
29,1,0,5.0,57000.0,Unlimited contract,101 to 1000,1,0,0,Employee
27,1,0,7.0,72000.0,Unlimited contract,11 to 50,1,1,0,Management
39,1,0,10.0,120000.0,Unlimited contract,1000+,0,1,1,Management
33,0,0,6.5,58000.0,Unlimited contract,101 to 1000,0,1,1,Management
45,0,0,6.0,55000.0,Unlimited contract,11 to 50,1,0,0,Management
38,1,0,12.0,73000.0,Unlimited contract,51 to 100,1,1,0,Management
32,1,1,9.0,90000.0,Unlimited contract,101 to 1000,1,0,0,Management
41,1,0,21.0,80000.0,Unlimited contract,101 to 1000,1,0,0,Management
34,1,1,10.0,85000.0,Unlimited contract,1000+,1,1,0,Management
32,1,0,12.0,66800.0,Unlimited contract,51 to 100,1,0,0,Management
33,1,0,10.0,70000.0,Unlimited contract,101 to 1000,1,0,1,Management
34,1,1,12.0,90000.0,Unlimited contract,1000+,1,0,0,Management
28,1,0,7.0,70000.0,Unlimited contract,101 to 1000,1,0,0,Management
32,1,0,7.5,68000.0,Unlimited contract,101 to 1000,1,1,0,Employee
39,1,0,17.0,64000.0,Unlimited contract,101 to 1000,1,1,0,Management
30,1,0,7.0,72000.0,Unlimited contract,11 to 50,1,0,0,Management
34,1,0,12.0,70000.0,Unlimited contract,101 to 1000,1,0,0,Management
35,1,0,10.0,63500.0,Unlimited contract,101 to 1000,1,1,1,Management
38,1,0,13.0,89570.0,Unlimited contract,1000+,1,1,1,Management
34,0,0,9.0,78000.0,Unlimited contract,101 to 1000,1,1,1,Management
31,1,0,7.0,80000.0,Unlimited contract,1000+,1,0,0,Management
34,1,0,15.0,70000.0,Unlimited contract,51 to 100,1,1,1,Management
29,0,0,5.0,67000.0,Unlimited contract,101 to 1000,1,1,1,Employee
37,1,0,15.0,85000.0,Unlimited contract,1000+,1,1,0,Management
30,1,0,9.0,66000.0,Unlimited contract,101 to 1000,1,0,0,Employee
46,1,1,14.0,80000.0,Unlimited contract,51 to 100,1,0,0,Management
38,1,0,15.0,56400.0,Unlimited contract,11 to 50,1,0,0,Management
32,1,0,11.0,81200.0,Unlimited contract,1000+,1,1,0,Management
